Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,Randomise questionnaire elements?,Question Key,Response
1,1703725149765,28/12/2023 00:59:09,1703725146416,0,28/12/2023 00:59:06,158033,3,questionnaire-gew1,,33876805,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 1,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1703725320840,28/12/2023 01:02:00,1703725317471,0,28/12/2023 01:01:57,158033,3,questionnaire-gew1,,33876805,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 1,Controls,ACCEPT,,No,question 1 ,Definitely Agree
3,1703725320902,28/12/2023 01:02:00,1703725317476,0,28/12/2023 01:01:57,158033,3,questionnaire-gew1,,33876805,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 1,Controls,ACCEPT,,No,question 1 -quantised,1
4,1703725320902,28/12/2023 01:02:00,1703725317476,0,28/12/2023 01:01:57,158033,3,questionnaire-gew1,,33876805,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 1,Controls,ACCEPT,,No,question 2 ,Slightly Disagree
5,1703725320902,28/12/2023 01:02:00,1703725317477,0,28/12/2023 01:01:57,158033,3,questionnaire-gew1,,33876805,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 1,Controls,ACCEPT,,No,question 2 -quantised,3
6,1703725320902,28/12/2023 01:02:00,1703725317477,0,28/12/2023 01:01:57,158033,3,questionnaire-gew1,,33876805,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 1,Controls,ACCEPT,,No,question 3 ,Slightly Disagree
7,1703725320902,28/12/2023 01:02:00,1703725317477,0,28/12/2023 01:01:57,158033,3,questionnaire-gew1,,33876805,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 1,Controls,ACCEPT,,No,question 3 -quantised,3
8,1703725320902,28/12/2023 01:02:00,1703725317478,0,28/12/2023 01:01:57,158033,3,questionnaire-gew1,,33876805,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 1,Controls,ACCEPT,,No,question 4 ,Slightly Disagree
9,1703725320902,28/12/2023 01:02:00,1703725317478,0,28/12/2023 01:01:57,158033,3,questionnaire-gew1,,33876805,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 1,Controls,ACCEPT,,No,question 4 -quantised,3
10,1703725320902,28/12/2023 01:02:00,1703725317478,0,28/12/2023 01:01:57,158033,3,questionnaire-gew1,,33876805,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 1,Controls,ACCEPT,,No,question 5,Slightly Agree
11,1703725320902,28/12/2023 01:02:00,1703725317479,0,28/12/2023 01:01:57,158033,3,questionnaire-gew1,,33876805,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 1,Controls,ACCEPT,,No,question 5-quantised,2
12,1703725320902,28/12/2023 01:02:00,1703725317479,0,28/12/2023 01:01:57,158033,3,questionnaire-gew1,,33876805,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 1,Controls,ACCEPT,,No,question 6 ,Slightly Agree
13,1703725320902,28/12/2023 01:02:00,1703725317479,0,28/12/2023 01:01:57,158033,3,questionnaire-gew1,,33876805,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 1,Controls,ACCEPT,,No,question 6 -quantised,2
14,1703725320902,28/12/2023 01:02:00,1703725317480,0,28/12/2023 01:01:57,158033,3,questionnaire-gew1,,33876805,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 1,Controls,ACCEPT,,No,question 7,Slightly Agree
