Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,randomiser-mq2e,branch-s3b7,branch-dgjt
1,1753208933875,22/07/2025 18:28,1753212533875,1,22/07/2025 20:28,234742,9,questionnaire-pawl,,48253131,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Feedback,2,,,,,info,,BEGIN,,,,,,selfreport_probe,Eligible,No Voucher
13,1753208979277,22/07/2025 18:29,1753212579277,1,22/07/2025 20:29,234742,9,questionnaire-pawl,,48253131,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,value,__other,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,selfreport_probe,Eligible,No Voucher
14,1753208979277,22/07/2025 18:29,1753212579277,1,22/07/2025 20:29,234742,9,questionnaire-pawl,,48253131,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,quantised,4,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,selfreport_probe,Eligible,No Voucher
15,1753208979277,22/07/2025 18:29,1753212579277,1,22/07/2025 20:29,234742,9,questionnaire-pawl,,48253131,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Feedback,2,Page 1,rnfxsa,1,**Which best describes the environment you completed the experiment in?**,response,other,A private space but with unanticipated noise coming from outside,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,2,object-2,selfreport_probe,Eligible,No Voucher
16,1753208979278,22/07/2025 18:29,1753212579278,1,22/07/2025 20:29,234742,9,questionnaire-pawl,,48253131,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,No,1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,No Voucher
17,1753208979278,22/07/2025 18:29,1753212579278,1,22/07/2025 20:29,234742,9,questionnaire-pawl,,48253131,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,No Voucher
18,1753208979278,22/07/2025 18:29,1753212579278,1,22/07/2025 20:29,234742,9,questionnaire-pawl,,48253131,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I checked my messages.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,No Voucher
19,1753208979278,22/07/2025 18:29,1753212579278,1,22/07/2025 20:29,234742,9,questionnaire-pawl,,48253131,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,No Voucher
20,1753208979278,22/07/2025 18:29,1753212579278,1,22/07/2025 20:29,234742,9,questionnaire-pawl,,48253131,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,"Yes, I had video playing on the side.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,No Voucher
21,1753208979278,22/07/2025 18:29,1753212579278,1,22/07/2025 20:29,234742,9,questionnaire-pawl,,48253131,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Feedback,2,Page 1,rnfxsa,1,**Did you use your phone at any point during the experiment? (Select all that apply)**,response,__other,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,3,object-3,selfreport_probe,Eligible,No Voucher
