Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,branch-s3b7,branch-wcx7,branch-spxp
1,1754560316120,07/08/2025 09:51,1754563916120,1,07/08/2025 11:51,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,Eligible,Voucher,Yes
2,1754560377208,07/08/2025 09:52,1754563977208,1,07/08/2025 11:52,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,1,instruction1,screen1,755tgm,1,continue,,61112.94,61098.94,61112.94,61112.94,61098.94,61112.94,1,0,0,,Click To Continue,next,3,object-4,instruction1,"## You will see the digits 1 to 9 in the centre of the screen, one at a time, in a random order.<br/><br/>Your task is to press the **SPACEBAR** with your preferred hand in response to each digit, **EXCEPT WHEN THE DIGIT IS A 3**, in that case you do nothing.<br/><br/>We are going to start with a practice round.",,,,,,Eligible,Voucher,Yes
3,1754560382190,07/08/2025 09:53,1754563982190,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,1,ready,screen1,vndsmx,1,timedOut,,4996.5,4996,4996.5,4996.5,4996,4996.5,1,0,0,,Time Limit,screen,0,screen,ready,,,,,,,Eligible,Voucher,Yes
4,1754560382390,07/08/2025 09:53,1754563982390,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,1,trial_withFeedback,digit,9x41os,1,timedOut,,200.30000000447035,199.6999999999971,200.30000000447035,200.30000000447035,199.6999999999971,200.30000000447035,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,6,space,,,170,Eligible,Voucher,Yes
5,1754560383289,07/08/2025 09:53,1754563983289,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,1,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.3000000000029,899.3000000000029,899.3000000000029,899.3000000000029,899.3000000000029,899.3000000000029,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,6,space,,,170,Eligible,Voucher,Yes
6,1754560384472,07/08/2025 09:53,1754563984472,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,2,trial_withFeedback,digit,9x41os,1,timedOut,,200.89999999999418,199.79999999998836,200.89999999999418,200.89999999999418,199.79999999998836,200.89999999999418,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,170,Eligible,Voucher,Yes
7,1754560385371,07/08/2025 09:53,1754563985371,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,2,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.3000000000029,899.3000000000029,899.3000000000029,899.3000000000029,899.3000000000029,899.3000000000029,1,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,170,Eligible,Voucher,Yes
8,1754560386553,07/08/2025 09:53,1754563986553,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,3,trial_withFeedback,digit,9x41os,1,timedOut,,200.30000000595464,199.89999999999418,200.30000000595464,200.30000000595464,199.89999999999418,200.30000000595464,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,7,space,,,100,Eligible,Voucher,Yes
9,1754560387452,07/08/2025 09:53,1754563987452,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,3,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.3000000000029,899.3000000000029,899.3000000000029,899.3000000000029,899.3000000000029,899.3000000000029,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,7,space,,,100,Eligible,Voucher,Yes
10,1754560388635,07/08/2025 09:53,1754563988635,1,07/08/2025 11:53,233799,28,task-kwp2,,48572346,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,4,trial_withFeedback,digit,9x41os,1,timedOut,,200.60000000595755,200,200.60000000595755,200.60000000595755,200,200.60000000595755,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,8,space,,,120,Eligible,Voucher,Yes
