Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Randomise questionnaire elements?,Question Key,Response,branch-s3b7,branch-wcx7,branch-spxp
1,1754560214496,07/08/2025 09:50,1754560213691,1,07/08/2025 10:50,233799,28,questionnaire-ja44,,48572236,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,,Consent form,5,selfreport_probe,No,BEGIN QUESTIONNAIRE,,Eligible,Voucher,Yes
2,1754560270654,07/08/2025 09:51,1754560269420,1,07/08/2025 10:51,233799,28,questionnaire-ja44,,48572236,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,Consent form,5,selfreport_probe,No,consent1,1,Eligible,Voucher,Yes
3,1754560270834,07/08/2025 09:51,1754560269421,1,07/08/2025 10:51,233799,28,questionnaire-ja44,,48572236,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,Consent form,5,selfreport_probe,No,consent2,1,Eligible,Voucher,Yes
4,1754560270834,07/08/2025 09:51,1754560269421,1,07/08/2025 10:51,233799,28,questionnaire-ja44,,48572236,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,Consent form,5,selfreport_probe,No,consent3,1,Eligible,Voucher,Yes
5,1754560270834,07/08/2025 09:51,1754560269421,1,07/08/2025 10:51,233799,28,questionnaire-ja44,,48572236,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,Consent form,5,selfreport_probe,No,consent5,1,Eligible,Voucher,Yes
6,1754560270834,07/08/2025 09:51,1754560269422,1,07/08/2025 10:51,233799,28,questionnaire-ja44,,48572236,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,Consent form,5,selfreport_probe,No,consent6,1,Eligible,Voucher,Yes
7,1754560270834,07/08/2025 09:51,1754560269422,1,07/08/2025 10:51,233799,28,questionnaire-ja44,,48572236,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,Consent form,5,selfreport_probe,No,consent7,1,Eligible,Voucher,Yes
8,1754560270834,07/08/2025 09:51,1754560269422,1,07/08/2025 10:51,233799,28,questionnaire-ja44,,48572236,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,Consent form,5,selfreport_probe,No,consent8,1,Eligible,Voucher,Yes
9,1754560270834,07/08/2025 09:51,1754560269422,1,07/08/2025 10:51,233799,28,questionnaire-ja44,,48572236,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,Consent form,5,selfreport_probe,No,consent9,1,Eligible,Voucher,Yes
10,1754560270834,07/08/2025 09:51,1754560269422,1,07/08/2025 10:51,233799,28,questionnaire-ja44,,48572236,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1521x703,,,,Consent form,5,selfreport_probe,No,consent10,1,Eligible,Voucher,Yes
